RepRapFirmware height map file v2 generated at 2022-09-09 18:41, min error -0.164, max error 0.108, mean 0.008, deviation 0.054
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,-100.00,100.10,-100.00,100.10,110.00,20.00,20.00,11,11
      0,      0,      0,  0.025, -0.051, -0.024,  0.036,  0.070,      0,      0,      0
      0,      0, -0.127, -0.064, -0.096, -0.006,  0.059,  0.004,  0.015,      0,      0
      0, -0.164, -0.130, -0.127, -0.056, -0.013,  0.047,  0.039,  0.035,  0.009,      0
 -0.090, -0.092, -0.070, -0.020,  0.000,  0.026,  0.070,  0.016,  0.022, -0.024, -0.022
 -0.021, -0.073, -0.043, -0.041, -0.033,  0.027,  0.047,  0.030,  0.001,  0.016,  0.052
  0.022,  0.011,  0.020,  0.013,  0.070,  0.070,  0.079,  0.030,  0.023, -0.058,  0.017
  0.014, -0.015,  0.041,  0.008,  0.053,  0.083,  0.065,  0.026,  0.029,  0.011,  0.022
  0.068,  0.069,  0.088,  0.071,  0.097,  0.074,  0.108,  0.094,  0.037, -0.025, -0.000
      0,  0.063,  0.077,  0.048,  0.047,  0.010,  0.036,  0.051,  0.034,  0.017,      0
      0,      0,  0.017,  0.002,  0.018,  0.002, -0.022,  0.016,  0.006,      0,      0
      0,      0,      0, -0.075, -0.041,  0.008, -0.037, -0.034,      0,      0,      0
